city,feature,auc_best,mann_whitney_p,direction
Avdiivka,s1__coh__date_first_drop_max,0.6388151914016118,3.43649005969201e-14,higher=damaged
Avdiivka,s1__coh__date_first_drop_mean,0.5837907296593429,4.743718757867769e-06,higher=damaged
Avdiivka,s1__coh__date_first_drop_std,0.6383547829167217,4.170151101065159e-14,higher=damaged
Avdiivka,s1__coh__date_worst_drop_max,0.5754726529107395,0.0004387970921293572,higher=damaged
Avdiivka,s1__coh__date_worst_drop_mean,0.5158698602779982,0.4598470396111519,higher=damaged
Avdiivka,s1__coh__date_worst_drop_std,0.6206225048028873,1.9337280466235713e-08,higher=damaged
Avdiivka,s1__coh__drop_count_max,0.5512137795425014,0.004519213901781998,higher=damaged
Avdiivka,s1__coh__drop_count_mean,0.533415083325351,0.06782579802976274,lower=damaged
Avdiivka,s1__coh__drop_count_std,0.5218727917110206,0.23229977730037554,higher=damaged
Avdiivka,s1__coh__lu_transition_mode,0.5000379532018948,0.9969003159308621,higher=damaged
Avdiivka,s1__coh__max_drop_max,0.5587497492377732,0.0062157326833757465,higher=damaged
Avdiivka,s1__coh__max_drop_mean,0.5558517511788084,0.009289623103080567,lower=damaged
Avdiivka,s1__coh__max_drop_std,0.5711848447442949,0.0009153562762324059,higher=damaged
Avdiivka,s1__coh__running_min_max,0.5582400919551863,0.006678953398497448,higher=damaged
Avdiivka,s1__coh__running_min_mean,0.5225161888479034,0.2943422004333437,higher=damaged
Avdiivka,s1__coh__running_min_std,0.5970644101982061,6.165356076324662e-06,higher=damaged
Borodyanka,s1__coh__date_first_drop_max,0.5516780049589454,0.01415262723574737,lower=damaged
Borodyanka,s1__coh__date_first_drop_mean,0.5827991253317386,0.00011850935260819788,lower=damaged
Borodyanka,s1__coh__date_first_drop_std,0.5011976849948292,0.9557112926392388,higher=damaged
Borodyanka,s1__coh__date_worst_drop_max,0.5033672236135511,0.9252246828415837,higher=damaged
Borodyanka,s1__coh__date_worst_drop_mean,0.5200678428587447,0.5764840001986783,lower=damaged
Borodyanka,s1__coh__date_worst_drop_std,0.5310276729089572,0.3878752154887596,higher=damaged
Borodyanka,s1__coh__drop_count_max,0.5895584918825302,1.0577913414889943e-06,higher=damaged
Borodyanka,s1__coh__drop_count_mean,0.5821558952890018,6.738792029999082e-05,higher=damaged
Borodyanka,s1__coh__drop_count_std,0.549123774280766,0.011049317703336493,higher=damaged
Borodyanka,s1__coh__lu_transition_mode,0.5,1.0,higher=damaged
Borodyanka,s1__coh__max_drop_max,0.6475987116709653,3.998698291816055e-05,higher=damaged
